Gazette Title,Gazette Volume,Gazette Release Number,Gazette Published Date,Claim Title Deed,Claim ERF Number / Address,Claim Reference ID,Claim Date
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,,4471,T134,1998-12-31
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,,16538,W128,1998-12-31
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,,12166,W185,1998-12-31
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T25677/1994,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,,4472,T134,1998-12-31
Suid-Afrikaanse Staatskoerant,672,44701,2021-06-11,T61148/1980,,KRP 9078,2021-06-11
Suid-Afrikaanse Staatskoerant,1738,19145,1998-08-21,"T16001/1993,T8844/1967",,KRN6/2/3/E/8/817/2722/239,1995-08-28
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,,12554,V035,1998-12-31
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,,Rem_Erf_14890,V113,1998-12-31
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,,5521,V214,1998-12-31
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,,1343,W038,1998-12-31
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T18501/1974,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T26494/1996,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T697/1999,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T18932/1997,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T10548/1985,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T20194/1984,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T6792/1991,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T7481/1982,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T20969/2001,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T2755/1976,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T6467/1976,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T5060/1976,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T16729/1976,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T18890/1990,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T68482/2002,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T31291/1995,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T35961/2004,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T35965/2004,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T33242/1988,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T14732/1997,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T50290/2001,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T17983/1974,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T14372/1997,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T7929/1976,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T7929/1976,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,T7930/1976,,KRN6/2/2/E/30/0/0/7,1998-12-30
Suid-Afrikaanse Staatskoerant,1740,19145,1998-08-21,"SS61/1993,T8545/1967",,KRN6/2/3/E/8/817/18/146,1997-01-29
Suid-Afrikaanse Staatskoerant,477,27324,2005-03-04,,4671,A555,1998-12-31
Suid-Afrikaanse Staatskoerant,1736,19145,1998-08-21,"T19155/1974,T13043/1970",,KRN6/2/3/E/8/817/385/13,1996-07-16
Suid-Afrikaanse Staatskoerant,1735,19145,1998-08-21,T27070/1946,,KRP6/2/2/H/14/0/0/122(16724),1996-07-07
Suid-Afrikaanse Staatskoerant,1744,19145,1998-08-21,"T8084/1967,T850/1925",,KRN6/2/3/E/38/872/1857/233,1996-07-30
Suid-Afrikaanse Staatskoerant,1734,19145,1998-08-21,T42338/1964,,KRP6/2/2/H/14/0/0/155(17993),1997-03-15
Suid-Afrikaanse Staatskoerant,1741,19145,1998-08-21,"T2601/1988,T7055/1962",,KRN6/2/3/E/8/817/2716/2280,1996-10-28
Suid-Afrikaanse Staatskoerant,1742,19145,1998-08-21,"T10573/1978,T16001/1993,T17577/1976,T6582/1978,T10573/1978,T11464/1968,T3665/1938,T6582/1978",,KRN6/2/3/E/8/817/2722/237,1995-06-30
Suid-Afrikaanse Staatskoerant,478,27462,2005-04-08,,Erf:9143,KRK6/2/3/A/1/0/332/66,1996-05-07
Suid-Afrikaanse Staatskoerant,1827,19156,1998-08-28,T43885/1964,,KRP6/2/2/H/14/0/0/189(18177),1996-09-01
Suid-Afrikaanse Staatskoerant,478,27462,2005-04-08,T29925/1997,,KRP 1624,1995-07-10
